Title,Channel,Published,URL
"Astrid S - Airpods (Official Lyric Video)","AstridSofficialVEVO","05/01/2026",https://www.youtube.com/watch?v=r4gojb8Iz2s
"ODESZA - The Last Goodbye ft. Bettye LaVette (Instrumental)","Rockstar Beats","09/12/2025",https://www.youtube.com/watch?v=uNRx8LnRzss
"Technicolor","EMMA WAHLIN - Topic","09/12/2025",https://www.youtube.com/watch?v=hsZ7Jj2Ei68
"Brazooka","NVDES - Topic","31/08/2025",https://www.youtube.com/watch?v=qZ2Bn0LYQ7Q
"Battle Royale feat. Panther (VIP Mix)","Apashe - Topic","31/08/2025",https://www.youtube.com/watch?v=CaOahhrGqH8
"Eat Them Apples","Suzi Wu - Topic","28/12/2024",https://www.youtube.com/watch?v=Bs7lVqYBqys
"Woodkid - Run Boy Run (Official HD Video)","WOODKID","02/09/2024",https://www.youtube.com/watch?v=lmc21V-zBq0
"Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song)","shakiraVEVO","25/08/2024",https://www.youtube.com/watch?v=pRpeEdMmmQ0
"Beyoncé - Countdown (Official Video)","BeyoncéVEVO","21/08/2024",https://www.youtube.com/watch?v=2XY3AvVgDns
"Bryce Fox - Horns (Lyrics)","Late Lyrics","21/08/2024",https://www.youtube.com/watch?v=Bs9PGQga6ic
"Katy Perry - Hot N Cold (Official Music Video)","KatyPerryVEVO","21/08/2024",https://www.youtube.com/watch?v=kTHNpusq654
"Raja Kumari - KARMA (Audio) [NEVER HAVE I EVER - 2X04 - SOUNDTRACK]","TV Series & Movie Soundtrack","21/08/2024",https://www.youtube.com/watch?v=V-Z2HSONViQ
"Riz Ahmed - Toba Tek Singh","Riz Ahmed","21/08/2024",https://www.youtube.com/watch?v=L-6E9W2_tv4
"Apashe & Sway - I'm A Dragon (""MARVEL's Iron Fist"" Official Trailer Song)","Non-Spotify","21/08/2024",https://www.youtube.com/watch?v=dXl1f11g88w
"Apashe - Work (ft. Vo Williams)","Apashe","21/08/2024",https://www.youtube.com/watch?v=hNjeAnwGhzc
"grandson - Blood // Water (Lyrics / Lyric Video)","UNCVRD","21/08/2024",https://www.youtube.com/watch?v=Rc_8tbGhXUc
"MY POWER (Official Audio)","BeyoncéVEVO","21/08/2024",https://www.youtube.com/watch?v=V_ZsbqSg4aE
"뚜두뚜두 (DDU-DU DDU-DU) (Remix)","BLACKPINK - Topic","21/08/2024",https://www.youtube.com/watch?v=u3Y0U1VuJeM
"NVDES - PURUSHA","NVDES","21/08/2024",https://www.youtube.com/watch?v=l3KwFCY1SoQ
"wonder & Yun Head - Bandits [Remix] (Official Lyric Video)","Yun Head","21/08/2024",https://www.youtube.com/watch?v=QCnOjOjgSu0
"Avicii - Without You (AFISHAL Remix) Track Only - ARCADE GAME STYLE","AFISHAL","21/08/2024",https://www.youtube.com/watch?v=PXPP9X4yIzg
"Ciara - Level Up","Ciara","21/08/2024",https://www.youtube.com/watch?v=Dh-ULbQmmF8
"BEGINNERS, Night Panda - Start A Riot (Raya and the Last Dragon Trailer Song)","The Wizard","21/08/2024",https://www.youtube.com/watch?v=ap3FBv1jZeQ
"I'm Her","Natalie Jane - Topic","21/08/2024",https://www.youtube.com/watch?v=jQ7mPUhEL44
