Title,Channel,Published,URL
"KAUN TUJHE  Lyrical | M.S. DHONI -THE UNTOLD STORY | Amaal Mallik Palak | Sushant Singh Disha Patani","T-Series","25/08/2025",https://www.youtube.com/watch?v=Ov0YGGSY6gY
"""Kabira Full Song"" Yeh Jawaani Hai Deewani | Pritam | Ranbir Kapoor, Deepika Padukone","T-Series","25/08/2025",https://www.youtube.com/watch?v=jHNNMj5bNQw
"Chahun Main Ya Naa Full Video Song Aashiqui 2 | Aditya Roy Kapur, Shraddha Kapoor","T-Series","25/08/2025",https://www.youtube.com/watch?v=VdyBtGaspss
"Ae Dil Hai Mushkil Title Track Full Video - Ranbir, Anushka, Aishwarya | Arijit Singh| Pritam","SonyMusicIndiaVEVO","25/08/2025",https://www.youtube.com/watch?v=6FURuLYrR_Q
"Saiyaara Title Song | Ahaan Panday, Aneet Padda | Tanishk Bagchi, Faheem A, Arslan N | Irshad Kamil","YRF","09/12/2025",https://www.youtube.com/watch?v=BSJa1UytM8w
"Apna Bana Le - Bhediya | Varun Dhawan, Kriti Sanon| Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya","Zee Music Company","09/12/2025",https://www.youtube.com/watch?v=ElZfdU54Cp8
"Full Video: Raanjhan | Do Patti | Kriti Sanon, Shaheer Sheikh | Parampara Tandon | Sachet-Parampara","T-Series","04/03/2026",https://www.youtube.com/watch?v=lBvbNxiVmZA
"Sahiba (Official Music Video) : Aditya Rikhari, Ankita Chhetri | T-Series","T-Series","04/03/2026",https://www.youtube.com/watch?v=n2dVFdqMYGA
"Anuv Jain - JO TUM MERE HO (Official Video)","Anuv Jain","04/03/2026",https://www.youtube.com/watch?v=ilNt2bikxDI
"""Tum Hi Ho"" Aashiqui 2 Full Song With Lyrics | Aditya Roy Kapur, Shraddha Kapoor","T-Series","04/03/2026",https://www.youtube.com/watch?v=Umqb9KENgmk
